[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run LocationTemplate Behavior [ RunTime:0.001658s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_template ] --END-- [ RunTime:0.001752s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_parse ] --START--
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined index:  userName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 40 行.
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined variable: UserName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 70 行.
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined index:  userName d16fb8dd5cb09c533fe8af903d5b11b7.php 第 70 行.
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | NOTIC: [8] Undefined variable: error d16fb8dd5cb09c533fe8af903d5b11b7.php 第 84 行.
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ParseTemplate Behavior [ RunTime:0.019752s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_parse ] --END-- [ RunTime:0.019836s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_filter ] --START--
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ContentReplace Behavior [ RunTime:0.002258s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run TokenBuild Behavior [ RunTime:0.001235s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000931s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Run ShowRuntime Behavior [ RunTime:0.001067s ]
[ 2012-12-17T15:38:15+08:00 ] /ComputerAssets/index.php/User/logOn | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005748s ]
