[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1622 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1623 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1624 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1625 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1626 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1627 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1628 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1629 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1630 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1631 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1632 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1633 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1634 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1635 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1636 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1637 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1638 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1639 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1640 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1641 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1642 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1643 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1644 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1645 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1646 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1647 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1648 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1649 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1650 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1651 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1652 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1653 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
[ 2012-11-28T08:46:57+08:00 ] /ComputerAssets/index.php/Content/search | NOTIC: [8] Undefined offset:  1654 5d411c0c82754ea1c4288a1f2232db2e.php 第 239 行.
